coordinate_x,coordinate_y,coordinate_z,y_probe
70.89,63.83,-30.0,439.54
63.83,70.89,-30.0,439.72
56.07,77.17,-30.0,439.97
47.7,82.61,-30.0,440.06
38.8,87.14,-30.0,440.26
29.48,90.72,-30.0,440.41
19.83,93.31,-30.0,440.42
9.97,94.87,-30.0,440.48
0.0,95.39,-30.0,440.57
-9.97,94.87,-30.0,440.49
-19.83,93.31,-30.0,440.41
-29.48,90.72,-30.0,440.32
-38.8,87.14,-30.0,440.19
-47.69,82.61,-30.0,440.02
-56.07,77.17,-30.0,439.79
-63.83,70.89,-30.0,439.61
-70.89,63.83,-30.0,439.51
-77.17,56.07,-30.0,439.24
-82.61,47.69,-30.0,439.06
-87.14,38.8,-30.0,438.96
-90.72,29.48,-30.0,438.76
-93.31,19.83,-30.0,438.65
-94.87,9.97,-30.0,438.65
-95.39,0.0,-30.0,438.6
-94.87,-9.97,-30.0,438.62
-93.31,-19.83,-30.0,438.76
-90.72,-29.48,-30.0,438.9
-87.14,-38.8,-30.0,439.03
-82.61,-47.7,-30.0,439.11
-77.17,-56.07,-30.0,439.42
-70.89,-63.83,-30.0,439.63
-63.83,-70.89,-30.0,439.82
-56.07,-77.17,-30.0,439.98
-47.7,-82.61,-30.0,440.18
-38.8,-87.14,-30.0,440.3
-29.48,-90.72,-30.0,440.54
-19.83,-93.31,-30.0,440.57
-9.97,-94.87,-30.0,440.68
0.0,-95.39,-30.0,440.57
9.97,-94.87,-30.0,440.62
19.83,-93.31,-30.0,440.61
29.48,-90.72,-30.0,440.52
38.8,-87.14,-30.0,440.36
47.7,-82.61,-30.0,440.18
56.07,-77.17,-30.0,440.0
63.83,-70.89,-30.0,439.77
70.89,-63.83,-30.0,439.62
77.17,-56.07,-30.0,439.41
82.61,-47.7,-30.0,439.16
87.14,-38.8,-30.0,439.03
90.72,-29.48,-30.0,438.87
93.31,-19.83,-30.0,438.86
94.87,-9.97,-30.0,438.63
97.98,0.0,-20.0,438.83
97.61,8.54,-20.0,438.84
96.49,17.01,-20.0,438.83
94.64,25.36,-20.0,438.92
92.07,33.51,-20.0,439.08
88.8,41.41,-20.0,439.1
84.85,48.99,-20.0,439.31
80.26,56.2,-20.0,439.47
75.06,62.98,-20.0,439.62
69.28,69.28,-20.0,439.79
62.98,75.06,-20.0,440.04
56.2,80.26,-20.0,440.23
48.99,84.85,-20.0,440.39
41.41,88.8,-20.0,440.53
33.51,92.07,-20.0,440.62
25.36,94.64,-20.0,440.81
17.01,96.49,-20.0,440.79
8.54,97.61,-20.0,440.87
0.0,97.98,-20.0,440.9
-8.54,97.61,-20.0,440.88
-17.01,96.49,-20.0,440.83
-25.36,94.64,-20.0,440.73
-33.51,92.07,-20.0,440.71
-41.41,88.8,-20.0,440.51
-48.99,84.85,-20.0,440.37
-56.2,80.26,-20.0,440.2
-62.98,75.06,-20.0,439.98
-69.28,69.28,-20.0,439.88
-75.06,62.98,-20.0,439.67
-80.26,56.2,-20.0,439.5
-84.85,48.99,-20.0,439.35
-88.8,41.41,-20.0,439.23
-92.07,33.51,-20.0,439.08
-94.64,25.36,-20.0,438.92
-96.49,17.01,-20.0,438.9
-97.61,8.54,-20.0,438.79
-97.98,0.0,-20.0,438.73
-97.61,-8.54,-20.0,438.76
-96.49,-17.01,-20.0,438.87
-94.64,-25.36,-20.0,438.91
-92.07,-33.51,-20.0,439.03
-88.8,-41.41,-20.0,439.23
-84.85,-48.99,-20.0,439.4
-80.26,-56.2,-20.0,439.52
-75.06,-62.98,-20.0,439.69
-69.28,-69.28,-20.0,439.84
-62.98,-75.06,-20.0,440.03
-56.2,-80.26,-20.0,440.17
-48.99,-84.85,-20.0,440.38
-41.41,-88.8,-20.0,440.58
-33.51,-92.07,-20.0,440.63
-25.36,-94.64,-20.0,440.74
-17.01,-96.49,-20.0,440.72
