coordinate_x,coordinate_y,coordinate_z,y_probe
28.32,-87.16,-40.0,440.62
37.28,-83.73,-40.0,440.47
45.83,-79.37,-40.0,440.28
53.87,-74.15,-40.0,440.09
61.33,-68.11,-40.0,439.84
68.11,-61.33,-40.0,439.61
74.15,-53.87,-40.0,439.47
79.37,-45.83,-40.0,439.15
83.73,-37.28,-40.0,438.93
87.16,-28.32,-40.0,438.77
89.65,-19.06,-40.0,438.65
91.15,-9.58,-40.0,438.49
95.39,0.0,-30.0,438.67
94.87,9.97,-30.0,438.64
93.31,19.83,-30.0,438.68
90.72,29.48,-30.0,438.75
87.14,38.8,-30.0,438.83
82.61,47.69,-30.0,438.97
77.17,56.07,-30.0,439.23
70.89,63.83,-30.0,439.41
63.83,70.89,-30.0,439.5
56.07,77.17,-30.0,439.72
47.7,82.61,-30.0,439.94
38.8,87.14,-30.0,439.95
29.48,90.72,-30.0,440.21
19.83,93.31,-30.0,440.33
9.97,94.87,-30.0,440.39
0.0,95.39,-30.0,440.41
-9.97,94.87,-30.0,440.43
-19.83,93.31,-30.0,440.37
-29.48,90.72,-30.0,440.27
-38.8,87.14,-30.0,440.2
-47.69,82.61,-30.0,440.03
-56.07,77.17,-30.0,439.97
-63.83,70.89,-30.0,439.69
-70.89,63.83,-30.0,439.45
-77.17,56.07,-30.0,439.22
-82.61,47.69,-30.0,439.1
-87.14,38.8,-30.0,438.85
-90.72,29.48,-30.0,438.89
-93.31,19.83,-30.0,438.74
-94.87,9.97,-30.0,438.66
-95.39,0.0,-30.0,438.71
-94.87,-9.97,-30.0,438.74
-93.31,-19.83,-30.0,438.86
-90.72,-29.48,-30.0,438.98
-87.14,-38.8,-30.0,439.09
-82.61,-47.7,-30.0,439.37
-77.17,-56.07,-30.0,439.52
-70.89,-63.83,-30.0,439.78
-63.83,-70.89,-30.0,440.02
-56.07,-77.17,-30.0,440.25
-47.7,-82.61,-30.0,440.53
-38.8,-87.14,-30.0,440.63
-29.48,-90.72,-30.0,440.81
-19.83,-93.31,-30.0,440.9
-9.97,-94.87,-30.0,440.98
0.0,-95.39,-30.0,441.03
9.97,-94.87,-30.0,441.04
19.83,-93.31,-30.0,441.0
29.48,-90.72,-30.0,440.86
38.8,-87.14,-30.0,440.69
47.7,-82.61,-30.0,440.58
56.07,-77.17,-30.0,440.3
63.83,-70.89,-30.0,440.11
70.89,-63.83,-30.0,439.86
77.17,-56.07,-30.0,439.58
82.61,-47.7,-30.0,439.39
87.14,-38.8,-30.0,439.15
90.72,-29.48,-30.0,438.96
93.31,-19.83,-30.0,438.84
94.87,-9.97,-30.0,438.72
97.98,0.0,-20.0,438.77
97.61,8.54,-20.0,438.76
96.49,17.01,-20.0,438.81
94.64,25.36,-20.0,438.84
92.07,33.51,-20.0,438.91
88.8,41.41,-20.0,439.0
84.85,48.99,-20.0,439.18
80.26,56.2,-20.0,439.26
75.06,62.98,-20.0,439.42
69.28,69.28,-20.0,439.57
62.98,75.06,-20.0,439.78
56.2,80.26,-20.0,439.96
48.99,84.85,-20.0,440.17
41.41,88.8,-20.0,440.33
33.51,92.07,-20.0,440.37
25.36,94.64,-20.0,440.43
17.01,96.49,-20.0,440.56
8.54,97.61,-20.0,440.64
0.0,97.98,-20.0,440.59
-8.54,97.61,-20.0,440.65
-17.01,96.49,-20.0,440.58
-25.36,94.64,-20.0,440.54
-33.51,92.07,-20.0,440.43
-41.41,88.8,-20.0,440.33
-48.99,84.85,-20.0,440.26
-56.2,80.26,-20.0,440.06
-62.98,75.06,-20.0,439.84
-69.28,69.28,-20.0,439.72
-75.06,62.98,-20.0,439.67
-80.26,56.2,-20.0,439.43
-84.85,48.99,-20.0,439.31
-88.8,41.41,-20.0,439.26
-92.07,33.51,-20.0,439.02
-94.64,25.36,-20.0,438.93
-96.49,17.01,-20.0,438.87
-97.61,8.54,-20.0,438.81
-97.98,0.0,-20.0,438.76
-97.61,-8.54,-20.0,438.9
-96.49,-17.01,-20.0,438.91
-94.64,-25.36,-20.0,439.04
-92.07,-33.51,-20.0,439.09
-88.8,-41.41,-20.0,439.22
-84.85,-48.99,-20.0,439.47
-80.26,-56.2,-20.0,439.67
-75.06,-62.98,-20.0,439.83
-69.28,-69.28,-20.0,439.99
-62.98,-75.06,-20.0,440.2
-56.2,-80.26,-20.0,440.42
-48.99,-84.85,-20.0,440.63
-41.41,-88.8,-20.0,440.75
-33.51,-92.07,-20.0,440.83
-25.36,-94.64,-20.0,440.9
-17.01,-96.49,-20.0,440.97
-8.54,-97.61,-20.0,441.02
0.0,-97.98,-20.0,441.0
8.54,-97.61,-20.0,441.05
17.01,-96.49,-20.0,441.01
25.36,-94.64,-20.0,440.96
33.51,-92.07,-20.0,440.93
41.41,-88.8,-20.0,440.83
48.99,-84.85,-20.0,440.64
56.2,-80.26,-20.0,440.44
62.98,-75.06,-20.0,440.22
69.28,-69.28,-20.0,440.0
75.06,-62.98,-20.0,439.78
80.26,-56.2,-20.0,439.54
84.85,-48.99,-20.0,439.38
88.8,-41.41,-20.0,439.15
92.07,-33.51,-20.0,439.07
94.64,-25.36,-20.0,438.96
96.49,-17.01,-20.0,438.8
97.61,-8.54,-20.0,438.71
99.5,0.0,-10.0,438.67
99.12,8.67,-10.0,438.63
97.99,17.28,-10.0,438.72
96.11,25.75,-10.0,438.81
93.5,34.03,-10.0,438.86
90.18,42.05,-10.0,439.01
86.17,49.75,-10.0,439.24
81.51,57.07,-10.0,439.24
76.22,63.96,-10.0,439.46
70.36,70.36,-10.0,439.6
63.96,76.22,-10.0,439.8
57.07,81.51,-10.0,439.99
49.75,86.17,-10.0,440.17
42.05,90.18,-10.0,440.35
34.03,93.5,-10.0,440.39
25.75,96.11,-10.0,440.54
17.28,97.99,-10.0,440.54
8.67,99.12,-10.0,440.63
0.0,99.5,-10.0,440.67
-8.67,99.12,-10.0,440.72
-17.28,97.99,-10.0,440.63
-25.75,96.11,-10.0,440.49
-34.03,93.5,-10.0,440.48
-42.05,90.18,-10.0,440.37
-49.75,86.17,-10.0,440.24
-57.07,81.51,-10.0,440.12
-63.96,76.22,-10.0,439.94
-70.36,70.36,-10.0,439.84
-76.22,63.96,-10.0,439.64
-81.51,57.07,-10.0,439.43
-86.17,49.75,-10.0,439.28
-90.18,42.05,-10.0,439.1
-93.5,34.03,-10.0,439.0
-96.11,25.75,-10.0,438.92
-97.99,17.28,-10.0,438.81
-99.12,8.67,-10.0,438.78
-99.5,0.0,-10.0,438.74
-99.12,-8.67,-10.0,438.71
-97.99,-17.28,-10.0,438.81
-96.11,-25.75,-10.0,438.94
-93.5,-34.03,-10.0,439.14
-90.18,-42.05,-10.0,439.29
-86.17,-49.75,-10.0,439.4
-81.51,-57.07,-10.0,439.53
-76.22,-63.96,-10.0,439.8
-70.36,-70.36,-10.0,439.95
-63.96,-76.22,-10.0,440.18
-57.07,-81.51,-10.0,440.38
-49.75,-86.17,-10.0,440.61
-42.05,-90.18,-10.0,440.68
-34.03,-93.5,-10.0,440.79
-25.75,-96.11,-10.0,440.89
-17.28,-97.99,-10.0,441.02
-8.67,-99.12,-10.0,440.99
0.0,-99.5,-10.0,441.12
8.67,-99.12,-10.0,441.05
17.28,-97.99,-10.0,441.16
25.75,-96.11,-10.0,441.05
34.03,-93.5,-10.0,440.93
42.05,-90.18,-10.0,440.81
49.75,-86.17,-10.0,440.61
57.07,-81.51,-10.0,440.41
63.96,-76.22,-10.0,440.25
70.36,-70.36,-10.0,440.07
76.22,-63.96,-10.0,439.81
81.51,-57.07,-10.0,439.6
86.17,-49.75,-10.0,439.48
90.18,-42.05,-10.0,439.23
93.5,-34.03,-10.0,439.04
96.11,-25.75,-10.0,438.94
97.99,-17.28,-10.0,438.84
99.12,-8.67,-10.0,438.67
100.0,0.0,0.0,438.7
99.62,8.72,0.0,438.77
98.48,17.36,0.0,438.63
96.59,25.88,0.0,438.76
93.97,34.2,0.0,438.88
90.63,42.26,0.0,438.98
86.6,50.0,0.0,439.06
81.92,57.36,0.0,439.25
76.6,64.28,0.0,439.48
70.71,70.71,0.0,439.59
64.28,76.6,0.0,439.83
57.36,81.92,0.0,439.97
50.0,86.6,0.0,440.14
42.26,90.63,0.0,440.34
34.2,93.97,0.0,440.42
25.88,96.59,0.0,440.57
17.36,98.48,0.0,440.64
8.72,99.62,0.0,440.59
0.0,100.0,0.0,440.72
-8.72,99.62,0.0,440.63
-17.36,98.48,0.0,440.62
-25.88,96.59,0.0,440.62
-34.2,93.97,0.0,440.51
-42.26,90.63,0.0,440.4
